user_id,track_name,artist,genre,mood,searched_at
User002,BABY BABY,GOING STEADY,j-rock,Angry,2026-08-22 18:32:55
User001,Money Rain - Phonk Remix,VTORNIK;Phonk,hip-hop,Happy,2026-08-23 19:54:51
User001,Merry Christmas,Ed Sheeran;Elton John,pop,Happy,2026-08-23 19:55:01
User001,Baby Shark,Afro Nursery Rhymes,kids,Happy,2026-08-23 19:55:45
User001,Perfect,Ed Sheeran,pop,Sad,2026-08-23 19:55:54
User001,All Around Me,Justin Bieber,pop,Chill,2026-08-23 20:15:01
User101,Bad Romance,Lady Gaga,dance,Happy,2026-08-24 00:00:15
User101,24K Magic - R3hab Remix,Bruno Mars;R3HAB,pop,Happy,2026-08-24 12:59:00
User104,太聰明,Cheer Chen,mandopop,Sad,2026-08-24 22:39:16
User104,Tic Tac,Future;Lil Uzi Vert,hip-hop,Angry,2026-08-24 22:39:41
User104,In Control (Acoustic),Hillsong Worship,world-music,Sad,2026-08-24 22:40:24
User104,LIMBO,keshi,chill,Sad,2026-08-24 22:40:38
User104,SAD!,XXXTENTACION,emo,Angry,2026-08-24 22:40:52
User104,愛你,Kimberley Chen,mandopop,Angry,2026-08-24 22:42:44
User104,"Malayude Mukalil - From ""Vaanku""",Najim Arshad;Ouseppachan,malay,Sad,2026-08-24 22:43:25
User105,Post Malone (feat. RANI),Sam Feldt;RANI,edm,Happy,2026-08-24 22:44:14
User105,Mercy,Shawn Mendes,dance,Angry,2026-08-24 22:44:48
User105,猜不透,Della,mandopop,Sad,2026-08-24 22:45:47
User105,Goosebumps - Remix,Travis Scott;HVME,hip-hop,Happy,2026-08-24 22:46:09
User105,Next Dimensional World (Qlimax Anthem 2008),Technoboy,hardstyle,Angry,2026-08-24 22:46:22
User105,Baby U Decide,高爾宣 OSN,mandopop,Happy,2026-08-24 22:46:39
User105,Without You,高爾宣 OSN,mandopop,Angry,2026-08-24 22:47:04
User106,Eenie Meenie,Sean Kingston;Justin Bieber,dance,Happy,2026-08-24 22:49:33
User106,Give It To Me Twice (feat. Sean Kingston & Rich The Kid),Party Favor;Rich The Kid;Sean Kingston,electronic,Happy,2026-08-24 22:49:37
